Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,¦Ó,DL,G,L,Ni3Al_fraction,creep_life
59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,4,4,32,1204,1080,870,1093,138,37.57656855,1.74619E-21,68.76902374,0.3464956,0.62058,30
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,43.30986107,1.49858E-20,68.17931438,0.350598062,0.66771,30
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,54.58668117,1.90001E-20,57.12318058,0.358196063,0.69541,30.2
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,1093,138,51.08050632,2.10257E-20,56.62637804,0.356976215,0.67151,31.6
62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,4,4,32,1285,1080,870,982,248.4,35.49677646,1.84624E-21,67.93567204,0.354778067,0.68724,33
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,54.58668117,1.90001E-20,57.12318058,0.358196063,0.69541,35.1
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,57.35932096,4.23318E-20,67.19061333,0.354305558,0.6548,35.4
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,1148,90,51.08050632,2.10257E-20,56.62637804,0.356976215,0.67151,39.2
62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,4,4,32,1285,1080,870,871,517.5,35.49677646,1.84624E-21,67.93567204,0.354778067,0.68724,40
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,1093,138,46.52361208,1.38573E-20,68.44773947,0.355800306,0.77561,42.3
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,48.05112716,1.18865E-20,68.04099076,0.350798409,0.65488,42.8
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,1093,138,52.36051372,1.07374E-20,66.98653174,0.350161782,0.68482,43.1
74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,58.97477103,1.75771E-20,65.81385731,0.354081578,0.90197,43.5
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,119.4323446,0.001309842,61.51446034,0.362381138,0.84633,43.8
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,50.12758446,2.12559E-20,67.05120815,0.35055696,0.66368,44.1
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,42.38253968,1.44762E-20,57.36099925,0.354283439,0.67653,44.5
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,42.38253968,1.44762E-20,57.36099925,0.354283439,0.67653,45.5
63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,52.34005683,2.46298E-20,66.99594077,0.353319429,0.66651,46
65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,52.39164028,1.4047E-20,67.54757854,0.351103718,0.74841,46.3
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,48.05112716,1.18865E-20,68.04099076,0.350798409,0.65488,47.1
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,52.39164028,1.4047E-20,67.54757854,0.351103718,0.74841,47.6
65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,54.89174525,1.11927E-20,67.78901681,0.35265877,0.6935,48.7
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,54.58668117,1.90001E-20,57.12318058,0.358196063,0.69541,49.1
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,2,4,16,1265,1079,899,982,179.4,38.77110825,6.3561E-21,68.70685163,0.348886846,0.58703,50
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,51.29536194,1.17883E-20,56.99072314,0.354400933,0.67757,51.4
71.946,2,0,5.8,1.5,4,2.5,7,5,0.05,0.004,0.05,0,0.15,2,4,16,1307,1080,898,982,276,46.70961327,1.35551E-20,67.04046162,0.355040956,0.73665,51.6
59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,4,4,32,1204,1080,870,1093,124.2,37.57656855,1.74619E-21,68.76902374,0.3464956,0.62058,52
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,51.29536194,1.17883E-20,56.99072314,0.354400933,0.67757,52.2
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,55.28739508,4.70067E-20,68.39834591,0.354245334,0.65618,52.4
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,982,276,51.08050632,2.10257E-20,56.62637804,0.356976215,0.67151,53.5
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,54.58668117,1.90001E-20,57.12318058,0.358196063,0.69541,53.5
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,51.29536194,1.17883E-20,56.99072314,0.354400933,0.67757,53.8
62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,2,4,16,1265,1079,899,871,379.5,39.74615009,6.34137E-21,68.67050721,0.349080679,0.58232,54.1
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,55.28739508,4.70067E-20,68.39834591,0.354245334,0.65618,54.2
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,43.30986107,1.49858E-20,68.17931438,0.350598062,0.66771,55.2
74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,58.97477103,1.75771E-20,65.81385731,0.354081578,0.90197,55.3
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,1148,90,46.52361208,1.38573E-20,68.44773947,0.355800306,0.77561,55.5
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,982,276,46.52361208,1.38573E-20,68.44773947,0.355800306,0.77561,55.5
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,871,552,51.08050632,2.10257E-20,56.62637804,0.356976215,0.67151,55.6
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,43.30986107,1.49858E-20,68.17931438,0.350598062,0.66771,56.3
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,43.30986107,1.49858E-20,68.17931438,0.350598062,0.66771,56.3
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,119.4323446,0.001309842,61.51446034,0.362381138,0.84633,57.4
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,48.05112716,1.18865E-20,68.04099076,0.350798409,0.65488,57.9
60.981,1,10,5.8,1.5,7,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,41.39961513,9.44651E-21,68.29255992,0.349142756,0.66788,58.5
60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,44.22375736,2.21898E-20,68.7255489,0.351420203,0.66636,59.8
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,48.96918759,2.20732E-20,67.60921809,0.351901854,0.66733,60.1
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,57.35932096,4.23318E-20,67.19061333,0.354305558,0.6548,62.2
63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,44.33249949,1.44863E-20,67.79971633,0.351493382,0.67408,63.1
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,48.05112716,1.18865E-20,68.04099076,0.350798409,0.65488,63.7
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,871,552,52.36051372,1.07374E-20,66.98653174,0.350161782,0.68482,64.2
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,57.35932096,4.23318E-20,67.19061333,0.354305558,0.6548,64.7
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,53.4544846,1.35281E-20,67.78173262,0.351800916,0.74472,64.8
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,53.4544846,1.35281E-20,67.78173262,0.351800916,0.74472,65.4
62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,2,4,16,1265,1079,899,982,179.4,38.58970952,6.37274E-21,68.57018427,0.348273768,0.59088,65.6
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,48.96918759,2.20732E-20,67.60921809,0.351901854,0.66733,66.4
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,50.01624446,2.50777E-20,68.07947796,0.352686315,0.66387,66.7
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,50.01624446,2.50777E-20,68.07947796,0.352686315,0.66387,67.1
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,54.02155173,1.71394E-20,67.92980134,0.352299882,0.74185,68
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,47.363008,2.22197E-20,67.82646358,0.350783676,0.6679,68.5
60.981,2,10,5.8,1.5,6,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,47.363008,2.22197E-20,67.82646358,0.350783676,0.6679,68.9
62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,2,4,16,1265,1079,899,871,379.5,38.58970952,6.37274E-21,68.57018427,0.348273768,0.59088,69.2
63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,52.34005683,2.46298E-20,66.99594077,0.353319429,0.66651,69.6
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,50.01624446,2.50777E-20,68.07947796,0.352686315,0.66387,70.1
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,982,276,52.36051372,1.07374E-20,66.98653174,0.350161782,0.68482,70.3
60.081,2.5,10,6.2,0,6,1.5,7,6.5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,44.46753012,1.67917E-20,67.36712228,0.351645836,0.6468,72.7
59.546,2,10,6.2,0,7,1.5,7,6.5,0.05,0.004,0.05,0,0.15,2,4,16,1307,1080,898,982,276,42.90674202,1.31347E-20,66.9648658,0.349831189,0.649,72.7
61.281,3,10,6.5,0,5.5,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,47.31036019,2.51158E-20,68.47442073,0.354718817,0.7027,74
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,49.29066236,1.15326E-20,66.39648606,0.348985394,0.67409,74.3
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,48.96918759,2.20732E-20,67.60921809,0.351901854,0.66733,75.7
60.581,3,10,6.2,0,5,1.5,7,6.5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,46.59101143,2.00859E-20,67.61255272,0.352856635,0.64079,76.2
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,53.4544846,1.35281E-20,67.78173262,0.351800916,0.74472,76.5
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,982,207,52.19363524,1.66982E-21,66.35537064,0.356238095,0.70995,76.8
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,49.29066236,1.15326E-20,66.39648606,0.348985394,0.67409,80.4
62.781,3,10,7,0,5.5,1.5,6,4,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,48.26884944,2.30368E-20,69.29449273,0.35442368,0.77596,80.7
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,982,207,52.19363524,1.66982E-21,66.35537064,0.356238095,0.70995,81.5
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,50.01624446,2.50777E-20,68.07947796,0.352686315,0.66387,82.9
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,52.39164028,1.4047E-20,67.54757854,0.351103718,0.74841,83.6
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,54.02155173,1.71394E-20,67.92980134,0.352299882,0.74185,84.3
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,54.02155173,1.71394E-20,67.92980134,0.352299882,0.74185,85.6
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,119.4323446,0.001309842,61.51446034,0.362381138,0.84633,85.6
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,871,414,52.19363524,1.66982E-21,66.35537064,0.356238095,0.70995,86.4
63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,44.33249949,1.44863E-20,67.79971633,0.351493382,0.67408,86.8
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,42.38253968,1.44762E-20,57.36099925,0.354283439,0.67653,87
64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,3,4,20,1276,1080,871,871,448.5,41.04733707,1.80716E-21,69.04909109,0.349344299,0.60239,89.2
63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,44.33249949,1.44863E-20,67.79971633,0.351493382,0.67408,90
60.981,1,10,5.8,1.5,7,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,41.39961513,9.44651E-21,68.29255992,0.349142756,0.66788,90.1
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,47.363008,2.22197E-20,67.82646358,0.350783676,0.6679,90.4
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,871,414,52.19363524,1.66982E-21,66.35537064,0.356238095,0.70995,90.8
59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,4,4,32,1204,1080,870,982,248.4,37.57656855,1.74619E-21,68.76902374,0.3464956,0.62058,91
61.281,2,10,6.5,0,6.5,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,46.02843679,1.56498E-20,64.85097833,0.336097138,0.66547,91.9
62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,2,4,16,1265,1079,899,760,621,39.74615009,6.34137E-21,68.67050721,0.349080679,0.58232,92.4
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,2,4,16,1265,1079,899,760,621,38.77110825,6.3561E-21,68.70685163,0.348886846,0.58703,92.5
60.981,2,10,5.8,1.5,6,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,42.46958365,1.42975E-20,68.5679551,0.350488573,0.66839,92.7
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,47.363008,2.22197E-20,67.82646358,0.350783676,0.6679,94.5
61.281,3,10,6.5,0,5.5,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,47.31036019,2.51158E-20,68.47442073,0.354718817,0.7027,94.7
71.946,2,0,5.8,1.5,4,2.5,7,5,0.05,0.004,0.05,0,0.15,2,4,16,1307,1080,898,871,552,46.70961327,1.35551E-20,67.04046162,0.355040956,0.73665,96.5
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,1148,90,52.36051372,1.07374E-20,66.98653174,0.350161782,0.68482,96.9
61.281,2,10,6.5,0,6.5,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,46.02843679,1.56498E-20,64.85097833,0.336097138,0.66547,97.1
62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,2,4,16,1265,1079,899,982,179.4,39.74615009,6.34137E-21,68.67050721,0.349080679,0.58232,98.1
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,49.29066236,1.15326E-20,66.39648606,0.348985394,0.67409,98.4
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,48.96918759,2.20732E-20,67.60921809,0.351901854,0.66733,100.3
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,53.16273093,3.06052E-20,67.72571094,0.351793113,0.7434,100.6
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,50.12758446,2.12559E-20,67.05120815,0.35055696,0.66368,101.9
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,55.28739508,4.70067E-20,68.39834591,0.354245334,0.65618,103
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,52.39164028,1.4047E-20,67.54757854,0.351103718,0.74841,103.9
59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,4,4,32,1204,1080,870,871,517.5,37.57656855,1.74619E-21,68.76902374,0.3464956,0.62058,105
66.8,0,5,5.4,0,6.9,2,7.9,5.9,0,0,0,0,0.1,4,4,20,1310,1080,704,1800,248.4,56.05651684,1.4081E-25,70.65290212,0.34593088,0.67363,107.5
59.546,2,10,6.2,0,7,1.5,7,6.5,0.05,0.004,0.05,0,0.15,2,4,16,1307,1080,898,871,552,42.90674202,1.31347E-20,66.9648658,0.349831189,0.649,110
61.781,4,10,6.5,0,4,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,49.56696459,3.78472E-20,68.95298578,0.357491998,0.69598,113.1
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,54.02155173,1.71394E-20,67.92980134,0.352299882,0.74185,113.3
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,49.29066236,1.15326E-20,66.39648606,0.348985394,0.67409,114.3
64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,3,4,20,1276,1080,871,982,220.8,41.04733707,1.80716E-21,69.04909109,0.349344299,0.60239,114.5
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,53.16273093,3.06052E-20,67.72571094,0.351793113,0.7434,115.5
60.081,2.5,10,6.2,0,6,1.5,7,6.5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,44.46753012,1.67917E-20,67.36712228,0.351645836,0.6468,119.1
62.781,3,10,7,0,5.5,1.5,6,4,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,48.26884944,2.30368E-20,69.29449273,0.35442368,0.77596,119.2
61.781,4,10,6.5,0,4,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,49.56696459,3.78472E-20,68.95298578,0.357491998,0.69598,119.8
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,52.39164028,1.4047E-20,67.54757854,0.351103718,0.74841,121.4
60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,44.22375736,2.21898E-20,68.7255489,0.351420203,0.66636,126.5
67.2,2.5,5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,1315,6,1010,20,871,982,248.4,54.06206143,2.60473E-15,59.44979465,0.355026265,0.6972,132.3
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,2,4,16,1265,1079,899,871,379.5,38.77110825,6.3561E-21,68.70685163,0.348886846,0.58703,133.8
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,53.4544846,1.35281E-20,67.78173262,0.351800916,0.74472,143.2
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,53.16273093,3.06052E-20,67.72571094,0.351793113,0.7434,147.4
63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,54.77751423,3.57051E-20,67.4607695,0.352057889,0.72491,153.7
63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,54.77751423,3.57051E-20,67.4607695,0.352057889,0.72491,158.7
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,50.12758446,2.12559E-20,67.05120815,0.35055696,0.66368,161.8
63.2,2.9,10,5.5,0,4.9,2,7.5,3.9,0,0,0,0,0.1,4,4,20,1310,1080,704,1800,248.4,58.35013118,6.52939E-25,69.13912429,0.332727792,0.58639,164.7
60.2,0,5,5.6,1,8,0.6,8,6,0,0,0,0,5.6,4,4,20,1180,1140,870,1100,120,36.92260762,1.83234E-21,64.47402081,0.342492788,0.80438,166
67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,4,4,20,1180,1140,870,1200,70,83.46756615,8.12176E-21,68.26312455,0.355521103,0.58396,167
64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,3,4,20,1276,1080,871,982,220.8,41.34221675,1.79973E-21,69.20082315,0.349701573,0.5966,173.5
61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,4,4,20,1180,1140,870,1200,70,53.654725,6.24371E-21,68.10588085,0.353531697,0.64915,182
62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,2,4,16,1265,1079,899,760,621,38.58970952,6.37274E-21,68.57018427,0.348273768,0.59088,184.4
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,47.363008,2.22197E-20,67.82646358,0.350783676,0.6679,184.5
